System Time;q1 (STS B);q2 (STS B);q3 (STS B);q0 (STS B);time STS B
2018/10/09 01:50:30.900;0.6076467;-0.3446952;0.6545944;0.2888894;1538918532
2018/10/09 01:50:31.200;0.6076148;-0.3447164;0.6546261;0.2888595;1538918783
2018/10/09 01:50:31.400;0.607625;-0.344704;0.6546214;0.2888636;1538919283
2018/10/09 01:50:31.700;0.607662;-0.3446776;0.6545922;0.2888839;1538919533
2018/10/09 01:50:32.000;0.6076279;-0.344693;0.6546239;0.2888649;1538919783
2018/10/09 01:50:32.200;0.607646;-0.3446801;0.6546105;0.2888724;1538920033
2018/10/09 01:50:32.500;0.6076102;-0.3446976;0.654646;0.2888469;1538920283
2018/10/09 01:50:32.800;0.6076158;-0.3446904;0.6546441;0.2888476;1538920533
2018/10/09 01:50:33.100;0.6076483;-0.3446668;0.6546162;0.2888706;1538920783
2018/10/09 01:50:33.300;0.607638;-0.3446658;0.6546293;0.2888636;1538921033
2018/10/09 01:50:33.600;0.6075963;-0.3446909;0.6546671;0.288836;1538921283
2018/10/09 01:50:33.900;0.6076272;-0.3446721;0.6546412;0.2888524;1538921533
2018/10/09 01:50:34.100;0.6076192;-0.3446742;0.6546509;0.2888442;1538921783
2018/10/09 01:50:34.400;0.6076321;-0.3446684;0.6546397;0.2888496;1538922033
2018/10/09 01:50:34.700;0.6076311;-0.3446622;0.654647;0.2888424;1538922533
2018/10/09 01:50:34.900;0.6076193;-0.344673;0.6546578;0.2888303;1538922783
2018/10/09 01:50:35.200;0.6076154;-0.3446709;0.6546655;0.2888234;1538923033
2018/10/09 01:50:35.500;0.607636;-0.3446594;0.6546435;0.2888433;1538923283
2018/10/09 01:50:35.800;0.6076186;-0.344668;0.6546638;0.2888238;1538923534
2018/10/09 01:50:36.000;0.6076216;-0.3446644;0.6546607;0.288829;1538923784
2018/10/09 01:50:36.300;0.6076242;-0.3446641;0.6546597;0.2888258;1538924034
2018/10/09 01:50:36.600;0.6076349;-0.3446531;0.6546502;0.2888381;1538924284
2018/10/09 01:50:36.800;0.607643;-0.3446543;0.6546417;0.2888392;1538924534
2018/10/09 01:50:37.100;0.6076157;-0.3446691;0.6546667;0.2888223;1538924784
2018/10/09 01:50:37.400;0.6076309;-0.3446593;0.6546534;0.2888319;1538925034
2018/10/09 01:50:37.600;0.6076275;-0.3446613;0.654657;0.2888285;1538925284
2018/10/09 01:50:37.900;0.6076386;-0.3446548;0.6546469;0.2888359;1538925534
2018/10/09 01:50:38.200;0.6076193;-0.344665;0.6546625;0.288829;1538926034
2018/10/09 01:50:38.500;0.6076275;-0.3446617;0.6546561;0.2888303;1538926284
2018/10/09 01:50:38.700;0.607617;-0.3446668;0.6546649;0.2888259;1538926534
2018/10/09 01:50:39.000;0.6076223;-0.3446664;0.6546596;0.2888274;1538926784
2018/10/09 01:50:39.300;0.607609;-0.3446747;0.654671;0.2888197;1538927034
2018/10/09 01:50:39.500;0.6076259;-0.3446662;0.6546562;0.2888282;1538927284
2018/10/09 01:50:39.800;0.6076086;-0.3446748;0.6546695;0.2888238;1538927534
2018/10/09 01:50:40.100;0.6076376;-0.3446596;0.6546445;0.2888375;1538927784
2018/10/09 01:50:40.300;0.6076092;-0.3446787;0.6546682;0.2888207;1538928034
2018/10/09 01:50:40.600;0.6075988;-0.3446905;0.6546733;0.288817;1538928285
2018/10/09 01:50:40.900;0.6076168;-0.3446783;0.6546595;0.2888252;1538928535
2018/10/09 01:50:41.200;0.6075884;-0.3446959;0.6546825;0.2888115;1538928785
2018/10/09 01:50:41.400;0.6076319;-0.3446709;0.6546419;0.288842;1538929285
2018/10/09 01:50:41.700;0.6076105;-0.3446832;0.6546597;0.2888318;1538929535
2018/10/09 01:50:42.000;0.6076019;-0.3446901;0.6546663;0.2888269;1538929785
2018/10/09 01:50:42.200;0.6076218;-0.344679;0.6546463;0.2888435;1538930035
2018/10/09 01:50:42.500;0.6076013;-0.3446895;0.654667;0.2888271;1538930285
2018/10/09 01:50:42.800;0.6076437;-0.3446669;0.6546276;0.2888547;1538930535
2018/10/09 01:50:43.000;0.6076102;-0.3446925;0.6546543;0.2888341;1538930785
2018/10/09 01:50:43.300;0.6076415;-0.3446717;0.6546264;0.2888563;1538931035
2018/10/09 01:50:43.600;0.6076212;-0.3446859;0.6546445;0.288841;1538931285
2018/10/09 01:50:43.900;0.6076262;-0.3446848;0.6546385;0.288845;1538931535
2018/10/09 01:50:44.100;0.6076072;-0.3446928;0.6546557;0.2888364;1538931785
2018/10/09 01:50:44.400;0.607619;-0.3446889;0.6546435;0.288844;1538932035
2018/10/09 01:50:44.700;0.6076307;-0.344681;0.6546322;0.2888547;1538932285
2018/10/09 01:50:44.900;0.607599;-0.3447009;0.6546577;0.2888399;1538932785
2018/10/09 01:50:45.200;0.6076043;-0.3446986;0.6546516;0.288845;1538933036
2018/10/09 01:50:45.500;0.6076281;-0.3446828;0.6546297;0.2888635;1538933286
2018/10/09 01:50:45.700;0.6076416;-0.3446759;0.6546192;0.2888671;1538933536
2018/10/09 01:50:46.000;0.6075796;-0.3447112;0.6546718;0.2888365;1538933786
2018/10/09 01:50:46.300;0.6076326;-0.3446798;0.6546251;0.2888683;1538934036
2018/10/09 01:50:46.600;0.6075914;-0.344707;0.6546612;0.2888405;1538934286
